0,1,2,3,sequence_id,label
0.4772725,0.488889,0.17778,0.08510499999999999,232,1
0.40909,0.6,0.4666665,0.25532,254,-1
0.4666665,0.615385,0.25,0.38095,193,1
0.4666665,0.30769,0.5454545,0.92857,210,-1
0.866665,0.7692300000000001,0.227275,0.214285,135,-1
0.142855,0.33999999999999997,0.42857,0.9,18,1
0.642855,0.58,0.261905,0.375,62,-1
0.5454545,0.5333335,0.5333335,0.4893615,244,-1
0.4666665,0.358975,0.227275,0.5,125,1
0.68182,0.62222,0.155555,0.06383,241,-1
0.613635,0.4,0.333335,0.44681,215,1
0.272725,0.333335,0.5333335,0.5106385,275,1
0.43182,0.6666650000000001,0.4666665,0.19149,253,-1
0.5454545,0.26666500000000004,0.4,0.3617,237,1
0.844445,0.615385,0.5227275,0.42857,127,1
0.57143,0.64,0.333335,0.45,59,-1
0.844445,0.7692300000000001,0.06818000000000002,0.285715,122,1
0.227275,0.22221999999999997,0.866665,0.61702,282,1
0.4772725,0.4666665,0.4666665,0.468085,287,1
0.25,0.444445,0.71111,0.6383,294,1
0.37778,0.615385,0.4545455,0.57143,159,-1
0.42222,0.410255,0.295455,0.40476,122,1
0.81818,0.8,0.17778,0.29786999999999997,259,-1
0.0,0.24444500000000002,0.733335,0.31915,310,-1
0.82222,0.79487,0.0,0.190475,130,1
0.4545455,0.488889,0.17778,0.14893499999999998,252,-1
0.91111,0.69231,0.09090999999999999,0.166665,179,1
0.92857,0.94,0.285715,0.275,85,1
0.6666650000000001,0.7,0.309525,0.15000000000000002,56,-1
0.4545455,0.17778,0.555555,0.57447,289,1
0.933335,0.69231,0.13636500000000001,0.11904999999999999,178,1
0.844445,0.6666650000000001,0.06818000000000002,0.309525,138,-1
0.5238095,0.88,0.047619999999999996,0.175,85,1
0.42857,0.5,0.0,0.175,75,1
0.42222,0.20512999999999998,0.5454545,0.7142850000000001,206,-1
0.295455,0.022220000000000018,0.5333335,0.70213,311,-1
0.40909,0.355555,0.333335,0.3617,224,1
0.444445,0.641025,0.59091,0.57143,157,-1
0.61905,0.36,0.309525,0.35,66,1
0.31818,0.26666500000000004,0.733335,0.914895,289,1
0.636365,0.4666665,0.155555,0.31915,212,1
0.6666650000000001,0.410255,0.5454545,0.61905,110,1
0.6666650000000001,0.07692500000000002,0.704545,0.57143,108,1
0.59091,0.4666665,0.488889,0.25532,219,1
0.6,0.28205,0.5454545,0.42857,123,1
0.333335,0.4615385,0.8863650000000001,0.97619,209,-1
0.37778,0.5384615,0.5454545,0.642855,161,-1
0.690475,0.26,0.214285,0.325,77,1
0.5333335,0.28205,0.5454545,0.642855,177,1
0.6666650000000001,0.4871795,0.31818,0.333335,114,1
0.6,0.43589500000000003,0.5454545,0.547619,124,1
0.5333335,0.20512999999999998,0.40909,0.5,128,1
0.11904999999999999,0.33999999999999997,0.4761905,0.6,51,-1
0.0,0.21999999999999997,0.57143,0.65,44,-1
0.8,0.564105,0.4772725,0.333335,191,1
0.7857149999999999,0.8200000000000001,0.142855,0.375,58,-1
0.31111,0.128205,0.36363500000000004,0.7142850000000001,202,-1
0.26666500000000004,0.025639999999999996,0.4545455,0.7857149999999999,203,-1
0.34091,0.155555,0.42222,0.44681,226,1
0.444445,0.4871795,0.5454545,0.357145,165,-1
0.84091,0.82222,0.022220000000000018,0.25532,259,-1
0.4,0.0,0.56818,0.642855,204,-1
0.613635,0.6,0.31111,0.25532,241,-1
0.5227275,0.511111,0.08889000000000002,0.06383,223,1
0.142855,0.32,0.42857,0.475,49,-1
0.11363499999999999,0.24444500000000002,0.6666650000000001,0.5106385,267,-1
0.5333335,0.69231,0.40909,0.357145,147,-1
0.26666500000000004,0.23076999999999998,0.93182,0.7142850000000001,175,1
0.43182,0.155555,0.5333335,0.57447,279,1
0.40909,0.333335,0.6666650000000001,0.468085,299,1
0.0,0.2,0.5,0.4,30,-1
0.24444500000000002,0.30769,0.5454545,0.7857149999999999,201,-1
0.17778,0.153845,0.40909,0.642855,182,1
0.272725,0.5333335,0.13333499999999998,0.29786999999999997,215,1
0.6,0.564105,0.04545500000000002,0.357145,112,1
0.20454499999999998,0.022220000000000018,0.62222,0.829785,290,1
0.272725,0.0,0.866665,0.7659549999999999,280,1
0.09090999999999999,0.0,0.6444449999999999,0.531915,230,1
0.36363500000000004,0.333335,0.511111,0.3617,269,-1
0.04545500000000002,0.26666500000000004,0.733335,0.8085100000000001,280,1
0.444445,0.846155,0.4772725,0.309525,156,-1
0.333335,0.025639999999999996,0.5454545,0.333335,169,-1
0.62222,0.5384615,0.34091,0.285715,121,1
0.06818000000000002,0.6666650000000001,0.333335,0.38298,211,1
0.022724999999999995,0.22221999999999997,0.866665,0.829785,287,1
0.75,0.82222,0.0,0.31915,260,-1
0.22221999999999997,0.384615,0.15909,0.59524,136,-1
0.71111,0.384615,0.5227275,0.4761905,125,1
0.13636500000000001,0.26666500000000004,0.5333335,0.68085,301,1
0.2,0.0,0.613635,0.59524,168,-1
0.5333335,0.0,0.5,0.642855,128,1
0.6,0.846155,0.0,0.190475,149,-1
0.488889,0.615385,0.20454499999999998,0.214285,136,-1
0.42222,0.615385,0.227275,0.5238095,179,1
0.5333335,0.30769,0.613635,0.5238095,166,-1
0.5333335,0.128205,0.18181999999999998,0.357145,114,1
0.272725,0.2,0.866665,0.42553,288,1
0.31818,0.26666500000000004,0.5333335,0.14893499999999998,214,1
0.333335,0.28205,0.613635,0.92857,198,-1
0.97778,0.615385,0.15909,0.238095,193,1
0.31818,0.155555,0.6,0.893615,289,1
0.43182,0.444445,0.4666665,0.5106385,290,1
0.68182,0.68889,0.4,0.25532,257,-1
0.511111,0.615385,0.20454499999999998,0.40476,131,-1
0.38095,0.4,0.57143,0.65,27,-1
0.555555,0.5384615,0.295455,0.5238095,180,1
0.4772725,0.5333335,0.04444500000000001,0.27659500000000004,245,-1
0.452381,0.56,0.142855,0.3,79,1
0.309525,0.6,0.142855,0.0,98,-1
0.555555,0.128205,0.613635,0.642855,123,1
0.4545455,0.6666650000000001,0.155555,0.5106385,221,1
0.4772725,0.5333335,0.4,0.44681,238,-1
0.13636500000000001,0.2,0.62222,0.44681,272,-1
0.24444500000000002,0.0,0.5454545,0.547619,158,-1
0.333335,0.25641,0.90909,0.90476,189,1
0.4666665,0.384615,0.40909,0.57143,175,1
0.4772725,0.333335,0.4666665,0.44681,281,1
0.272725,0.08889000000000002,0.6,0.7659549999999999,306,-1
0.4666665,0.5128205,0.40909,0.7142850000000001,164,-1
0.755555,0.7692300000000001,0.09090999999999999,0.285715,110,1
0.227275,0.155555,0.71111,0.44681,273,-1
0.5,0.6444449999999999,0.26666500000000004,0.25532,257,-1
0.7857149999999999,0.58,0.261905,0.175,78,1
0.4666665,0.025639999999999996,0.31818,0.642855,202,-1
0.57778,0.69231,0.386365,0.40476,146,-1
0.5454545,0.333335,0.333335,0.31915,220,1
0.40909,0.6444449999999999,0.4,0.19149,257,-1
0.42222,0.564105,0.40909,0.5,177,1
0.6,0.5128205,0.613635,0.57143,159,-1
0.8863650000000001,0.4,0.155555,0.27659500000000004,284,1
0.511111,0.384615,0.5454545,0.38095,116,1
0.0,0.44,0.38095,0.025000000000000022,32,-1
0.20454499999999998,0.0,0.5333335,0.7659549999999999,273,-1
0.5,0.488889,0.5333335,0.5106385,293,1
0.309525,0.5,0.57143,0.65,46,-1
0.4666665,0.5128205,0.5227275,0.642855,191,1
0.6,0.128205,0.5454545,0.7857149999999999,181,1
0.5454545,0.4,0.444445,0.44681,285,1
0.90909,0.333335,0.08889000000000002,0.14893499999999998,224,1
0.59091,0.5333335,0.333335,0.27659500000000004,225,1
0.4772725,0.355555,0.5333335,0.4893615,213,1
0.26666500000000004,0.179485,0.8863650000000001,0.5,195,1
0.26666500000000004,0.384615,0.4772725,0.738095,197,-1
0.738095,0.8,0.190475,0.07500000000000001,87,1
0.13333499999999998,0.07692500000000002,0.90909,0.761905,172,1
0.8863650000000001,0.6666650000000001,0.28889,0.27659500000000004,284,1
0.6,0.564105,0.40909,0.238095,109,1
0.5454545,0.37778,0.4666665,0.5106385,264,-1
0.8863650000000001,0.555555,0.0,0.25532,227,1
0.0,0.28,0.88095,0.675,7,1
0.5454545,0.4666665,0.24444500000000002,0.31915,217,1
0.4545455,0.2,0.5333335,0.531915,286,1
0.386365,0.4,0.6,0.44681,268,-1
0.40909,0.26666500000000004,0.5333335,0.44681,231,1
0.42222,0.333335,0.4772725,0.6666650000000001,197,-1
0.227275,0.155555,0.42222,0.87234,304,-1
0.295455,0.26666500000000004,0.62222,0.25532,302,-1
0.155555,0.30769,0.65909,0.59524,190,1
0.25,0.4666665,0.57778,0.531915,264,-1
0.2,0.05127999999999999,0.40909,0.452381,162,-1
0.613635,0.333335,0.444445,0.38298,219,1
0.57143,0.88,0.166665,0.0,87,1
0.386365,0.2,0.733335,1.0,314,-1
0.5227275,0.5333335,0.355555,0.44681,230,1
0.4772725,0.37778,0.5333335,0.57447,216,1
0.738095,0.52,0.166665,0.375,57,-1
