image_id,object_count
0000327_03801_d_0000730,108
0000280_00801_d_0000616,74
0000335_00393_d_0000045,34
0000001_04527_d_0000008,124
0000295_00600_d_0000024,202
0000276_02401_d_0000519,52
0000276_04201_d_0000528,60
0000335_05097_d_0000069,20
0000330_04401_d_0000822,38
0000316_00201_d_0000520,59
0000193_01705_d_0000112,134
0000154_00801_d_0000001,75
0000213_05340_d_0000246,138
0000244_03000_d_0000007,45
0000346_02549_d_0000359,61
0000155_01601_d_0000001,76
0000335_04313_d_0000065,38
0000327_00801_d_0000715,84
0000330_00601_d_0000803,95
0000335_00589_d_0000046,21
0000213_05745_d_0000247,102
0000153_01201_d_0000001,62
0000359_02549_d_0000709,21
0000289_00001_d_0000811,43
0000333_02157_d_0000012,68
0000001_05249_d_0000009,113
0000359_00785_d_0000703,32
0000194_01192_d_0000125,25
0000242_03199_d_0000011,9
0000271_06001_d_0000402,159
0000296_01001_d_0000040,186
0000289_07201_d_0000847,40
0000215_01395_d_0000259,62
0000269_00601_d_0000351,97
0000330_01401_d_0000807,162
0000291_00401_d_0000870,168
0000356_04901_d_0000654,106
0000333_01765_d_0000010,122
0000330_04201_d_0000821,166
0000271_06401_d_0000404,129
0000277_03601_d_0000556,66
0000280_01401_d_0000619,111
0000072_02834_d_0000003,77
0000359_00393_d_0000701,43
0000276_02601_d_0000520,33
0000359_01177_d_0000705,61
0000194_00998_d_0000124,43
0000291_04201_d_0000889,111
0000277_02601_d_0000552,122
0000360_07645_d_0000752,16
0000022_01251_d_0000007,12
0000283_00601_d_0000677,9
0000360_00197_d_0000714,79
0000244_01000_d_0000003,122
0000335_02745_d_0000057,100
0000289_07001_d_0000846,74
0000289_01001_d_0000816,33
0000287_04601_d_0000780,90
0000271_00601_d_0000377,81
0000271_01601_d_0000381,48
0000356_02745_d_0000643,101
0000333_00001_d_0000001,71
0000194_00000_d_0000119,57
0000001_02999_d_0000005,128
0000295_01600_d_0000029,143
0000026_03000_d_0000030,13
0000001_03499_d_0000006,78
0000330_04601_d_0000823,62
0000271_00801_d_0000378,65
0000242_01475_d_0000007,68
0000303_03401_d_0000200,83
0000291_03201_d_0000884,241
0000154_01601_d_0000001,107
0000287_02801_d_0000773,60
0000116_00351_d_0000083,79
0000196_04512_d_0000144,70
0000276_04001_d_0000527,54
0000271_00201_d_0000375,75
0000313_06401_d_0000468,97
0000287_01401_d_0000766,69
0000024_01000_d_0000014,15
0000356_02157_d_0000640,57
0000346_03921_d_0000366,50
0000280_03201_d_0000628,83
0000333_03137_d_0000017,40
0000312_02401_d_0000426,81
0000330_03201_d_0000816,69
0000215_01869_d_0000260,78
0000287_04801_d_0000781,53
0000316_00401_d_0000521,23
0000289_02601_d_0000824,59
0000360_03137_d_0000729,56
0000242_04116_d_0000013,8
0000360_04705_d_0000737,9
0000055_00000_d_0000109,101
0000316_01801_d_0000528,11
0000162_00001_d_0000001,43
0000289_04001_d_0000831,82
0000276_01201_d_0000513,30
0000103_02544_d_0000029,14
0000295_01000_d_0000026,257
0000276_01801_d_0000516,22
0000193_02416_d_0000116,50
0000356_00589_d_0000632,124
0000215_02667_d_0000262,88
0000193_02606_d_0000117,50
0000116_01338_d_0000086,60
0000291_01801_d_0000877,115
0000193_02029_d_0000114,94
0000103_04513_d_0000034,2
