image_id,object_count
0000001_02999_d_0000005,128
0000001_03499_d_0000006,78
0000001_03999_d_0000007,50
0000001_04527_d_0000008,124
0000001_05249_d_0000009,113
0000001_05499_d_0000010,141
0000001_05999_d_0000011,120
0000001_07999_d_0000012,137
0000001_08414_d_0000013,164
0000021_00000_d_0000001,31
0000021_00500_d_0000002,17
0000021_00800_d_0000003,7
0000022_00000_d_0000004,43
0000022_00500_d_0000005,32
0000022_01036_d_0000006,16
0000022_01251_d_0000007,12
0000023_00000_d_0000008,40
0000023_00300_d_0000009,30
0000023_00868_d_0000010,20
0000023_01233_d_0000011,14
0000024_00000_d_0000012,21
0000024_00500_d_0000013,10
0000024_01000_d_0000014,15
0000024_01543_d_0000015,8
0000026_00000_d_0000024,8
0000026_00500_d_0000025,15
0000026_01000_d_0000026,25
0000026_01500_d_0000027,10
0000026_02000_d_0000028,9
0000026_02500_d_0000029,17
0000026_03000_d_0000030,13
0000026_03500_d_0000031,23
0000026_04000_d_0000032,14
0000026_04500_d_0000033,47
0000026_04978_d_0000034,46
0000055_00000_d_0000109,101
0000055_00714_d_0000110,87
0000069_00001_d_0000001,34
0000069_00483_d_0000002,27
0000069_00713_d_0000003,51
0000069_01109_d_0000004,31
0000069_01878_d_0000005,36
0000069_02163_d_0000006,49
0000069_02480_d_0000007,65
0000072_02834_d_0000003,77
0000076_02142_d_0000009,11
0000081_00000_d_0000001,93
0000086_00000_d_0000001,37
0000086_00592_d_0000002,65
0000086_01084_d_0000003,149
0000086_01443_d_0000004,112
0000086_01954_d_0000005,175
0000103_00180_d_0000026,1
0000103_00502_d_0000027,3
0000103_01734_d_0000028,4
0000103_02544_d_0000029,14
0000103_02964_d_0000030,10
0000103_03349_d_0000031,4
0000103_03738_d_0000032,3
0000103_04122_d_0000033,4
0000103_04513_d_0000034,2
0000103_04948_d_0000035,1
0000115_00315_d_0000080,65
0000115_00796_d_0000081,88
0000115_01031_d_0000082,68
0000116_00351_d_0000083,79
0000116_00819_d_0000084,43
0000116_01059_d_0000085,72
0000116_01338_d_0000086,60
0000117_00112_d_0000087,131
0000117_01326_d_0000088,69
0000117_01731_d_0000089,48
0000117_02708_d_0000090,103
0000117_03096_d_0000091,28
0000129_02411_d_0000138,190
0000153_00001_d_0000001,58
0000153_00401_d_0000001,68
0000153_00801_d_0000001,59
0000153_01201_d_0000001,62
0000153_01601_d_0000001,67
0000153_01801_d_0000001,60
0000154_00001_d_0000001,59
0000154_00401_d_0000001,62
0000154_00801_d_0000001,75
0000154_01201_d_0000001,91
0000154_01601_d_0000001,107
0000154_02001_d_0000001,101
0000155_00001_d_0000001,99
0000155_00401_d_0000001,136
0000155_00801_d_0000001,111
0000155_01201_d_0000001,102
0000155_01601_d_0000001,76
0000155_01871_d_0000001,61
0000162_00001_d_0000001,43
0000162_00401_d_0000001,48
0000162_00801_d_0000001,40
0000162_01058_d_0000001,60
0000163_00001_d_0000001,72
0000163_00359_d_0000001,56
0000165_04325_d_0000105,31
0000166_00558_d_0000118,73
0000193_00000_d_0000103,71
0000193_01497_d_0000111,90
0000193_01705_d_0000112,134
0000193_01876_d_0000113,109
0000193_02029_d_0000114,94
0000193_02212_d_0000115,82
0000193_02416_d_0000116,50
0000193_02606_d_0000117,50
0000193_02725_d_0000118,42
0000194_00000_d_0000119,57
0000194_00200_d_0000120,85
0000194_00399_d_0000121,145
0000194_00625_d_0000122,87
0000194_00800_d_0000123,56
0000194_00998_d_0000124,43
0000194_01192_d_0000125,25
0000196_04512_d_0000144,70
0000199_01269_d_0000166,18
0000213_02500_d_0000240,101
0000213_02965_d_0000241,97
0000213_03478_d_0000242,118
0000213_03920_d_0000243,169
0000213_04405_d_0000244,112
0000213_04998_d_0000245,140
0000213_05340_d_0000246,138
0000213_05745_d_0000247,102
0000215_00000_d_0000256,171
0000215_00447_d_0000257,55
0000215_00909_d_0000258,93
0000215_01395_d_0000259,62
0000215_01869_d_0000260,78
0000215_02319_d_0000261,113
0000215_02667_d_0000262,88
0000215_02932_d_0000263,50
0000215_03226_d_0000264,24
0000216_00520_d_0000001,109
0000220_01242_d_0000004,39
0000223_01802_d_0000005,65
0000237_00001_d_0000001,19
0000242_00001_d_0000001,53
0000242_00500_d_0000002,56
0000242_00627_d_0000003,54
0000242_00843_d_0000004,2
0000242_00963_d_0000005,13
0000242_01139_d_0000006,77
0000242_01475_d_0000007,68
0000242_01912_d_0000008,54
0000242_02400_d_0000009,34
0000242_02762_d_0000010,33
0000242_03199_d_0000011,9
0000242_03668_d_0000012,44
0000242_04116_d_0000013,8
0000242_04600_d_0000014,30
0000242_05059_d_0000015,38
0000242_05570_d_0000016,35
0000242_06010_d_0000017,44
0000242_06452_d_0000018,12
0000244_00001_d_0000001,51
0000244_00500_d_0000002,46
0000244_01000_d_0000003,122
0000244_01500_d_0000004,100
0000244_02000_d_0000005,131
0000244_02500_d_0000006,115
0000244_03000_d_0000007,45
0000244_03500_d_0000008,147
0000244_04000_d_0000009,62
0000244_04400_d_0000010,102
0000244_04900_d_0000011,108
0000244_05400_d_0000012,94
0000244_05900_d_0000013,69
0000244_06388_d_0000014,55
0000249_00001_d_0000001,81
0000249_00235_d_0000002,86
0000249_00603_d_0000003,49
0000249_01100_d_0000004,32
0000249_01514_d_0000005,54
0000249_01635_d_0000006,84
0000249_02073_d_0000007,71
0000249_02468_d_0000008,19
0000249_02900_d_0000009,103
0000249_03400_d_0000010,96
0000249_03900_d_0000011,94
0000253_00001_d_0000001,106
0000256_00715_d_0000019,100
0000256_02173_d_0000030,50
0000263_02401_d_0000179,17
0000269_00001_d_0000348,132
0000269_00201_d_0000349,54
0000269_00601_d_0000351,97
0000271_00001_d_0000374,58
0000271_00201_d_0000375,75
0000271_00401_d_0000376,25
0000271_00601_d_0000377,81
0000271_00801_d_0000378,65
0000271_01201_d_0000379,60
0000271_01401_d_0000380,55
0000271_01601_d_0000381,48
0000271_02401_d_0000385,92
0000271_02601_d_0000386,81
0000271_03001_d_0000387,56
0000271_03801_d_0000391,57
0000271_04401_d_0000394,86
0000271_04801_d_0000396,50
0000271_05001_d_0000397,90
0000271_05201_d_0000398,71
0000271_05401_d_0000399,71
0000271_05601_d_0000400,86
0000271_05801_d_0000401,106
0000271_06001_d_0000402,159
0000271_06201_d_0000403,142
0000271_06401_d_0000404,129
0000271_06601_d_0000405,108
0000271_06801_d_0000406,96
0000271_07001_d_0000407,58
0000271_07201_d_0000408,25
0000271_07401_d_0000409,42
0000273_05601_d_0000466,34
0000276_00001_d_0000507,55
0000276_00401_d_0000509,62
0000276_00601_d_0000510,39
0000276_01001_d_0000512,44
0000276_01201_d_0000513,30
0000276_01401_d_0000514,25
0000276_01801_d_0000516,22
0000276_02001_d_0000517,17
0000276_02201_d_0000518,43
0000276_02401_d_0000519,52
0000276_02601_d_0000520,33
