round,client,step,semantic_score,energy
1,2,0,0.353,0.148
1,2,1,0.354,0.1372
1,2,2,0.357,0.1273
1,2,3,0.372,0.0524
1,2,4,0.366,0.0765
1,2,5,0.363,0.0917
1,2,6,0.353,0.1533
1,2,7,0.373,0.0535
1,2,8,0.354,0.1532
1,2,9,0.359,0.12
1,2,10,0.365,0.0841
1,2,11,0.366,0.0912
1,2,12,0.363,0.0942
1,2,13,0.365,0.0856
1,2,14,0.356,0.1264
1,2,15,0.367,0.0792
1,2,16,0.361,0.1116
1,2,17,0.373,0.0568
1,2,18,0.368,0.068
1,2,19,0.37,0.0736
1,2,20,0.37,0.0686
1,2,21,0.355,0.1329
1,2,22,0.363,0.0966
1,2,23,0.362,0.1024
1,2,24,0.372,0.0534
1,2,25,0.358,0.12
1,2,26,0.352,0.1529
1,2,27,0.369,0.0792
1,2,28,0.358,0.1268
1,2,29,0.367,0.0809
1,2,30,0.365,0.0915
1,2,31,0.358,0.125
1,2,32,0.356,0.1325
1,2,33,0.366,0.0869
1,2,34,0.372,0.0505
1,2,35,0.372,0.0535
1,2,36,0.366,0.078
1,2,37,0.358,0.1325
1,2,38,0.36,0.122
1,2,39,0.377,0.03
1,2,40,0.357,0.12
1,2,41,0.358,0.1255
1,2,42,0.357,0.1272
1,2,43,0.365,0.0901
1,2,44,0.359,0.12
1,2,45,0.36,0.1273
1,2,46,0.365,0.0836
1,2,47,0.369,0.0744
1,2,48,0.355,0.1353
1,2,49,0.358,0.12
1,1,0,0.369,0.0697
1,1,1,0.374,0.0456
1,1,2,0.37,0.0587
1,1,3,0.371,0.052
1,1,4,0.369,0.0596
1,1,5,0.369,0.066
1,1,6,0.37,0.0712
1,1,7,0.371,0.0612
1,1,8,0.374,0.038
1,1,9,0.369,0.0659
1,1,10,0.367,0.0744
1,1,11,0.377,0.032
1,1,12,0.378,0.0277
1,1,13,0.37,0.0694
1,1,14,0.373,0.0555
1,1,15,0.368,0.0736
1,1,16,0.374,0.0435
1,1,17,0.375,0.0401
1,1,18,0.366,0.0788
1,1,19,0.371,0.0564
1,1,20,0.369,0.0625
1,1,21,0.377,0.038
1,1,22,0.376,0.03
1,1,23,0.37,0.066
1,1,24,0.367,0.074
1,1,25,0.376,0.0276
1,1,26,0.377,0.032
1,1,27,0.379,0.0261
1,1,28,0.371,0.0628
1,1,29,0.372,0.0541
1,1,30,0.37,0.0669
1,1,31,0.371,0.06
1,1,32,0.372,0.0603
1,1,33,0.368,0.0752
1,1,34,0.375,0.032
1,1,35,0.373,0.0576
1,1,36,0.369,0.0656
1,1,37,0.369,0.0637
1,1,38,0.372,0.0563
1,1,39,0.372,0.0488
1,1,40,0.367,0.0745
1,1,41,0.368,0.0722
1,1,42,0.375,0.04
1,1,43,0.371,0.0661
1,1,44,0.37,0.0605
1,1,45,0.371,0.0531
1,1,46,0.371,0.0549
1,1,47,0.377,0.032
1,1,48,0.373,0.0527
1,1,49,0.374,0.038
1,3,0,0.361,0.1128
1,3,1,0.357,0.1295
1,3,2,0.359,0.114
1,3,3,0.358,0.1246
1,3,4,0.346,0.184
1,3,5,0.346,0.1752
1,3,6,0.363,0.0968
1,3,7,0.349,0.17
1,3,8,0.356,0.1322
1,3,9,0.361,0.1059
1,3,10,0.357,0.1348
1,3,11,0.356,0.1238
1,3,12,0.368,0.0691
1,3,13,0.357,0.1275
1,3,14,0.354,0.1476
1,3,15,0.358,0.1259
1,3,16,0.354,0.1482
1,3,17,0.352,0.1574
1,3,18,0.351,0.1552
1,3,19,0.363,0.0985
1,3,20,0.353,0.142
1,3,21,0.354,0.142
1,3,22,0.349,0.1744
1,3,23,0.352,0.1432
1,3,24,0.356,0.1338
1,3,25,0.353,0.1472
1,3,26,0.356,0.1289
1,3,27,0.358,0.1288
1,3,28,0.362,0.1018
1,3,29,0.351,0.16
1,3,30,0.351,0.1552
1,3,31,0.362,0.1111
1,3,32,0.352,0.1549
1,3,33,0.364,0.0972
1,3,34,0.347,0.174
1,3,35,0.35,0.1657
1,3,36,0.347,0.1807
1,3,37,0.347,0.1752
1,3,38,0.356,0.1335
1,3,39,0.361,0.1157
1,3,40,0.345,0.1808
1,3,41,0.35,0.157
1,3,42,0.347,0.184
1,3,43,0.353,0.1397
1,3,44,0.354,0.1457
1,3,45,0.353,0.1516
1,3,46,0.356,0.1402
1,3,47,0.357,0.1147
1,3,48,0.349,0.1626
1,3,49,0.355,0.1421
2,2,0,0.367,0.0839
2,2,1,0.353,0.1481
2,2,2,0.354,0.134
2,2,3,0.36,0.12
2,2,4,0.355,0.146
2,2,5,0.355,0.1336
2,2,6,0.363,0.0884
2,2,7,0.359,0.12
2,2,8,0.367,0.0776
2,2,9,0.359,0.1137
2,2,10,0.36,0.12
2,2,11,0.364,0.092
2,2,12,0.358,0.12
2,2,13,0.358,0.12
2,2,14,0.365,0.0897
2,2,15,0.355,0.1384
2,2,16,0.354,0.1372
2,2,17,0.373,0.0505
2,2,18,0.362,0.1112
2,2,19,0.358,0.1266
2,2,20,0.354,0.148
2,2,21,0.363,0.0976
2,2,22,0.356,0.1272
2,2,23,0.368,0.0684
2,2,24,0.354,0.1424
2,2,25,0.359,0.12
2,2,26,0.36,0.12
2,2,27,0.353,0.1337
2,2,28,0.356,0.134
2,2,29,0.364,0.0852
2,2,30,0.357,0.126
2,2,31,0.357,0.1276
2,2,32,0.381,0.022
2,2,33,0.366,0.0802
2,2,34,0.355,0.1233
2,2,35,0.364,0.0928
2,2,36,0.354,0.1326
2,2,37,0.36,0.12
2,2,38,0.353,0.1529
2,2,39,0.357,0.12
2,2,40,0.364,0.1024
2,2,41,0.356,0.1254
2,2,42,0.365,0.0842
2,2,43,0.355,0.1329
2,2,44,0.357,0.12
2,2,45,0.359,0.12
2,2,46,0.358,0.134
2,2,47,0.369,0.076
2,2,48,0.359,0.12
2,2,49,0.367,0.084
2,1,0,0.37,0.0615
2,1,1,0.373,0.0497
2,1,2,0.374,0.052
2,1,3,0.37,0.074
2,1,4,0.37,0.068
2,1,5,0.378,0.032
2,1,6,0.372,0.0521
2,1,7,0.37,0.0546
2,1,8,0.375,0.032
2,1,9,0.372,0.055
2,1,10,0.375,0.032
2,1,11,0.37,0.0573
2,1,12,0.372,0.053
2,1,13,0.369,0.066
2,1,14,0.367,0.08
2,1,15,0.37,0.0637
2,1,16,0.372,0.0606
2,1,17,0.369,0.0708
2,1,18,0.372,0.0581
2,1,19,0.377,0.032
2,1,20,0.371,0.0544
2,1,21,0.376,0.032
2,1,22,0.37,0.0582
2,1,23,0.371,0.054
2,1,24,0.375,0.04
2,1,25,0.367,0.0776
2,1,26,0.375,0.032
2,1,27,0.369,0.0667
2,1,28,0.373,0.0488
2,1,29,0.371,0.05
2,1,30,0.377,0.0308
2,1,31,0.374,0.0427
2,1,32,0.372,0.0544
2,1,33,0.375,0.032
2,1,34,0.371,0.0653
2,1,35,0.37,0.0541
2,1,36,0.368,0.0688
2,1,37,0.372,0.0579
2,1,38,0.373,0.04
2,1,39,0.376,0.032
2,1,40,0.373,0.0482
2,1,41,0.368,0.0704
2,1,42,0.372,0.0569
2,1,43,0.367,0.0736
2,1,44,0.37,0.0531
2,1,45,0.372,0.0516
2,1,46,0.373,0.0581
2,1,47,0.372,0.0657
2,1,48,0.372,0.0492
2,1,49,0.375,0.04
2,0,0,0.371,0.0545
2,0,1,0.371,0.067
2,0,2,0.373,0.0456
2,0,3,0.376,0.0296
2,0,4,0.375,0.0334
2,0,5,0.374,0.048
2,0,6,0.371,0.049
2,0,7,0.376,0.0316
2,0,8,0.373,0.0528
2,0,9,0.371,0.0573
2,0,10,0.37,0.0612
2,0,11,0.372,0.0585
2,0,12,0.377,0.0288
2,0,13,0.367,0.074
2,0,14,0.371,0.0638
2,0,15,0.371,0.0627
2,0,16,0.378,0.0252
2,0,17,0.37,0.0631
2,0,18,0.37,0.063
2,0,19,0.372,0.0612
2,0,20,0.372,0.0602
2,0,21,0.373,0.0546
2,0,22,0.37,0.0617
2,0,23,0.37,0.0644
2,0,24,0.376,0.0245
2,0,25,0.369,0.0624
2,0,26,0.367,0.0712
2,0,27,0.373,0.0331
2,0,28,0.374,0.036
2,0,29,0.371,0.0476
2,0,30,0.375,0.0373
2,0,31,0.371,0.0563
2,0,32,0.373,0.049
2,0,33,0.371,0.0499
2,0,34,0.369,0.0665
2,0,35,0.372,0.056
2,0,36,0.373,0.0508
2,0,37,0.369,0.0636
2,0,38,0.368,0.0676
2,0,39,0.372,0.0484
2,0,40,0.375,0.0465
2,0,41,0.371,0.0628
2,0,42,0.375,0.0386
