round,client,step,reward,delay,energy,migration
1,1,0,-0.24477308306097983,0.1982,0.0925,1
1,1,1,-0.17941700211167336,0.0975,0.1619,1
1,1,2,-0.22710549874305724,0.1649,0.1239,1
1,1,3,-0.2249169196486473,0.0847,0.2783,1
1,1,4,-0.22746054589748382,0.1108,0.2329,1
1,1,5,-0.23149057257175443,0.1086,0.2438,1
1,1,6,-0.24643374137878418,0.1176,0.2566,1
1,1,7,-0.23891474522352218,0.158,0.1598,1
1,1,8,-0.21033195285797118,0.123,0.1726,1
1,1,9,-0.17513345682621,0.0864,0.1755,1
1,1,10,-0.19329116266965865,0.0967,0.1912,1
1,1,11,-0.20374547166824342,0.0953,0.2146,1
1,1,12,-0.204853395819664,0.111,0.1855,1
1,1,13,-0.2113009800583124,0.1712,0.0813,1
1,1,14,-0.23716907277703284,0.1734,0.1282,1
1,1,15,-0.22959624654054642,0.1559,0.1452,1
1,1,16,-0.19934687608480453,0.1354,0.127,1
1,1,17,-0.215994137775898,0.1491,0.1342,1
1,1,18,-0.19547239007949832,0.1044,0.18,1
1,1,19,-0.21651612744927407,0.1621,0.1069,1
1,1,20,-0.18176173269748688,0.086,0.1905,1
1,1,21,-0.21894982171058658,0.1312,0.1736,1
1,1,22,-0.20603413659334183,0.0903,0.23,1
1,1,23,-0.19090152139663694,0.0691,0.2422,1
1,1,24,-0.17591475648880003,0.1356,0.0812,1
1,1,25,-0.23227906470894813,0.1449,0.1749,1
1,1,26,-0.15915544374883175,0.133,0.0529,1
1,1,27,-0.2029695281505585,0.1461,0.1144,1
1,1,28,-0.2244701507806778,0.0996,0.2484,1
1,1,29,-0.22257539063692094,0.1469,0.1492,1
1,1,30,-0.17166738317012786,0.0844,0.1741,1
1,1,31,-0.25995460544228555,0.1804,0.1585,1
1,1,32,-0.17371144572496414,0.0767,0.1924,1
1,1,33,-0.21409029207229616,0.1174,0.1924,1
1,1,34,-0.19207270698547363,0.0862,0.2108,1
1,1,35,-0.2171626926243305,0.1891,0.0576,1
1,1,36,-0.2177848506987095,0.1307,0.1719,1
1,1,37,-0.19174695920944212,0.0755,0.2314,1
1,1,38,-0.225546956884861,0.1017,0.246,1
1,1,39,-0.22628644108772278,0.1039,0.2422,1
1,1,40,-0.21632244105935097,0.1956,0.0434,1
1,1,41,-0.17136558079719544,0.058,0.226,1
1,1,42,-0.16159259376525878,0.0636,0.1944,1
1,1,43,-0.22286956149339676,0.1228,0.1998,1
1,1,44,-0.21087435666918755,0.0812,0.2585,1
1,1,45,-0.24660690135955812,0.0953,0.3002,1
1,1,46,-0.2134248452425003,0.0973,0.23,1
1,1,47,-0.2006075245141983,0.1731,0.0563,1
1,1,48,-0.22151048083305358,0.1283,0.1862,1
1,1,49,-0.20740467533469198,0.1084,0.1957,1
